ID	LABEL_ID	OFFER_ID
864	54	OFF0007
864	233	OFF0007
864	213	OFF0007
864	56	OFF0007
864	63	OFF0007
864	203	OFF0007
864	216	OFF0007
864	108	OFF0007
1160	34	OFF0014
1160	123	OFF0014
1160	233	OFF0014
1160	120	OFF0014
1160	17	OFF0014
1160	206	OFF0014
1160	155	OFF0014
1160	21	OFF0014
1160	125	OFF0014
1160	157	OFF0014
936	134	OFF0005
936	47	OFF0005
936	54	OFF0005
936	144	OFF0005
936	233	OFF0005
936	183	OFF0005
936	227	OFF0005
936	203	OFF0005
936	89	OFF0005
100	103	OFF0022
100	47	OFF0005
100	54	OFF0005
100	144	OFF0005
100	233	OFF0005
100	183	OFF0005
100	227	OFF0005
100	203	OFF0005
100	89	OFF0005
100	134	OFF0005
100	144	OFF0020
100	132	OFF0020
100	106	OFF0020
100	136	OFF0020
100	233	OFF0020
100	49	OFF0022
100	97	OFF0022
476	55	OFF0021
476	104	OFF0021
476	50	OFF0021
1470	229	OFF0025
1470	54	OFF0027
1470	56	OFF0027
1470	209	OFF0027
1470	194	OFF0027
1470	234	OFF0027
1470	95	OFF0027
1470	97	OFF0025
676	233	OFF0020
676	144	OFF0020
676	132	OFF0020
676	106	OFF0020
676	136	OFF0020
803	43	OFF0044
803	151	OFF0044
803	208	OFF0044
803	75	OFF0044
803	67	OFF0044
803	38	OFF0044
803	86	OFF0044
803	246	OFF0044
803	122	OFF0044
803	224	OFF0044
803	89	OFF0044
803	203	OFF0044
1416	103	OFF0023
1416	49	OFF0023
1416	235	OFF0023
1416	135	OFF0023
1051	54	OFF0007
1051	233	OFF0007
1051	213	OFF0007
1051	56	OFF0007
1051	63	OFF0007
1051	203	OFF0007
1051	216	OFF0007
1051	108	OFF0007
359	54	OFF0007
359	233	OFF0007
359	213	OFF0007
359	56	OFF0007
359	63	OFF0007
359	203	OFF0007
359	216	OFF0007
359	108	OFF0007
694	103	OFF0022
694	49	OFF0022
694	97	OFF0022
1118	233	OFF0020
1118	144	OFF0020
1118	132	OFF0020
1118	106	OFF0020
1118	136	OFF0020
1463	103	OFF0023
1463	49	OFF0023
1463	235	OFF0023
1463	135	OFF0023
599	54	OFF0007
599	233	OFF0007
599	213	OFF0007
599	56	OFF0007
599	63	OFF0007
599	203	OFF0007
599	216	OFF0007
599	108	OFF0007
331	103	OFF0023
331	49	OFF0023
331	235	OFF0023
331	135	OFF0023
176	54	OFF0007
176	233	OFF0007
176	213	OFF0007
176	56	OFF0007
176	63	OFF0007
176	203	OFF0007
176	216	OFF0007
176	108	OFF0007
222	103	OFF0023
222	49	OFF0023
222	235	OFF0023
222	135	OFF0023
1191	103	OFF0023
1191	117	OFF0010
1191	200	OFF0010
1191	54	OFF0010
1191	233	OFF0010
1191	55	OFF0010
1191	124	OFF0010
1191	44	OFF0010
1191	166	OFF0010
1191	27	OFF0010
1191	62	OFF0010
1191	42	OFF0010
1191	238	OFF0010
1191	49	OFF0023
1191	235	OFF0023
1191	135	OFF0023
1441	229	OFF0025
1441	43	OFF0016
1441	233	OFF0016
1441	12	OFF0016
1441	11	OFF0016
1441	9	OFF0016
